"tablescraper-selected-row href","css-6ubqba","css-1oq4rdn","css-1hqv54u","css-1hqv54u 2","css-1hqv54u 3"
"https://secrethunter.io/jobs/it-technician-student-graduate-at-ree-automotive-4079614431","IT technician student/ graduate","REE Automotive","Herzliya","2 weeks","Score: 80"
"https://secrethunter.io/jobs/junior-campaign-manager-at-no-any-company-4083001880","Junior campaign manager","No Any Company","Tel Aviv","2 weeks","Score: 80"
"https://secrethunter.io/jobs/application-engineer-student-at-applied-materials-4055116104","Application engineer student","Applied Materials","Rehovot","3 weeks","Score: 79"
"https://secrethunter.io/jobs/algorithms-development-student-at-applied-materials-4055108897","Algorithms development student","Applied Materials","Rehovot","3 weeks","Score: 79"
"https://secrethunter.io/jobs/financials-and-market-research-student-at-weccelerate-ltd-4081777070","Financials and market research student","WeCcelerate Ltd.","Tel Aviv","2 weeks","Score: 79"
"https://secrethunter.io/jobs/supply-chain-account-manager-student-at-philips-4082462954","Supply chain account manager student","Philips","Haifa","2 weeks","Score: 79"
"https://secrethunter.io/jobs/86.148","Manual QA student","BrandShield","Herzliya","3 weeks","Score: 78"
"https://secrethunter.io/jobs/student-researcher-2025-at-google-4075297558","Student researcher, 2025","Google","Tel Aviv","3 weeks","Score: 78"
"https://secrethunter.io/jobs/tenableisrael-4343626008","Recruiting coordinator- part time/ student position","Tenable","Israel - Office - CS","1 month","Score: 78"
"https://secrethunter.io/jobs/B1.D4F","Algorithm student","Samsung","Tel Aviv","1 month","Score: 78"
"https://secrethunter.io/jobs/qa-engineer-student-position-at-ourcrowd-4076616164","QA engineer - student position","OurCrowd","Jerusalem","3 weeks","Score: 77"
"https://secrethunter.io/jobs/chemichal-process-engineering-student-at-stratasys-4068338077","Chemichal process engineering-student","Stratasys","Kiryatgat","1 month","Score: 76"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%9C%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A4%D7%99%D7%A0%D7%A0%D7%A1%D7%99-at-elbit-systems-israel-4066385312","סטודנט.ית לניהול פיננסי","Elbit Systems Israel","Modiin","3 weeks","Score: 76"
"https://secrethunter.io/jobs/solution-engineer-student-at-wint-water-intelligence-4076513854","Solution engineer-student","WINT Water Intelligence","Rosh Ha'ayin","3 weeks","Score: 76"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%A4%D7%9C%D7%A0%D7%A8-%D7%99%D7%AA-%D7%9C%D7%9E%D7%97%D7%9C%D7%A7%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%97%D7%95%D7%9E%D7%A8-at-elbit-systems-israel-4071702740","סטודנט.ית פלנר.ית למחלקת תכנון חומר","Elbit Systems Israel","Rehovot","3 weeks","Score: 75"
"https://secrethunter.io/jobs/BC.24D","Data analyst intern german native (student-part time)","Tastewise","Tel Aviv","1 month","Score: 75"
"https://secrethunter.io/jobs/%D7%A1%D7%98%D7%95%D7%93%D7%A0%D7%98-%D7%99%D7%AA-%D7%9C%D7%A7%D7%91%D7%95%D7%A6%D7%AA-%D7%A4%D7%99%D7%AA%D7%95%D7%97-%D7%9E%D7%91%D7%93%D7%A7%D7%99%D7%9D-%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%99%D7%9D-at-elbit-systems-israel-4013119030","סטודנט.ית לקבוצת פיתוח מבדקים אוטומטיים","Elbit Systems Israel","Holon","3 weeks","Score: 75"
"https://secrethunter.io/jobs/F0.D4F","Junior vidops engineer (intern)","Beamr","Herzliya","1 month","Score: 75"
"https://secrethunter.io/jobs/real-time-developer-temporary-student-position-at-elbit-systems-israel-4062495057","Real time developer-temporary student position","Elbit Systems Israel","Beer Sheva","3 weeks","Score: 75"
"https://secrethunter.io/jobs/educateur-trice-de-jeunes-enfants-at-association-ad%C3%A8le-de-glaubitz-4077760973","Educateur.trice de jeunes enfants","Association Adèle de Glaubitz","Tel Aviv","3 weeks","Score: 75"
"https://secrethunter.io/jobs/16199-junior-qa-tester-at-qualitest-4076866538","16199 - junior QA tester","Qualitest","Petah Tikva","3 weeks","Score: 75"
"https://secrethunter.io/jobs/rf-student-position-at-elbit-systems-israel-4062493680","RF - student position","Elbit Systems Israel","Netanya","3 weeks","Score: 74"
"https://secrethunter.io/jobs/49.C45","Data operations student","Prisma Photonics","Tel Aviv","2 months","Score: 72"
"https://secrethunter.io/jobs/B9.C4D","Software automation & validation student","CEVA","Herzliya","2 months","Score: 72"
"https://secrethunter.io/jobs/Connecteam-5359509004","Customer support student position (part time)","Connecteam","Israel","2 months","Score: 72"
"https://secrethunter.io/jobs/03.B41","Junior instructional designer student","SolarEdge Technologies","Herzliya","3 months","Score: 71"
"https://secrethunter.io/jobs/F8.C49","Student position- lab assistant","H2Pro","Caesarea","2 months","Score: 71"
"https://secrethunter.io/jobs/network-security-analyst-student-position-at-check-point-software-4061472427","Network security analyst - student position","Check Point Software","Tel Aviv","2 months","Score: 70"
"https://secrethunter.io/jobs/junior-software-engineer-at-masterschool-4034297545","Junior software engineer","Masterschool","Haifa","3 months","Score: 70"
"https://secrethunter.io/jobs/B3.A4A","Financial analyst- student position","Global-E","Petah Tikva","3 months","Score: 70"
"https://secrethunter.io/jobs/software-student-cto-group-at-sony-semicon-il-4061544282","Software student - cto group","Sony Semicon (IL)","Hod Hasharon","2 months","Score: 69"
"https://secrethunter.io/jobs/system-software-data-student-at-amazon-web-services-aws-4031324819","System software data student","Amazon Web Services (AWS)","Haifa","2 months","Score: 69"
"https://secrethunter.io/jobs/process-student-engineer-at-tower-semiconductor-3379154848","Process student engineer","Tower Semiconductor","Migdal Haemek","4 months","Score: 69"
"https://secrethunter.io/jobs/student-r-d-at-vishay-intertechnology-inc-4040049971","Student R&D","Vishay Intertechnology, Inc.","Dimona","3 months","Score: 69"
"https://secrethunter.io/jobs/75.B42","Software developer student","Inspira Technologies","Ra'anana","2 months","Score: 69"
"https://secrethunter.io/jobs/4C.B45","Testing and data analysis student","Vectorious Medical Technologies","Tel Aviv","2 months","Score: 68"
"https://secrethunter.io/jobs/qa-engineer-student-position-at-audiocodes-4011363145","QA engineer - student position","AudioCodes","Oryehuda","4 months","Score: 68"
"https://secrethunter.io/jobs/14731-junior-manual-software-system-tester-at-qualitest-4032804654","14731 - junior manual software system tester","Qualitest","Petah Tikva","3 months","Score: 67"
"https://secrethunter.io/jobs/76.244","Noc and tier 1 support student","ThetaRay","Hod Hasharon","2 months","Score: 67"
"https://secrethunter.io/jobs/sdr-student-position-at-unleash-4033411433","Sdr student position","Unleash","Tel Aviv","3 months","Score: 67"
"https://secrethunter.io/jobs/A1.52C","QA student","Deel Hub","Holon","4 months","Score: 67"
"https://secrethunter.io/jobs/11394-junior-software-tester-observer-at-qualitest-3977670785","11394 - junior software tester (observer)","Qualitest","Petah Tikva","5 months","Score: 67"
"https://secrethunter.io/jobs/24.A4F","R&D student","PTC","Herzliya","3 months","Score: 67"
"https://secrethunter.io/jobs/37.748","R&D mathematics student","PTC","Haifa","4 months","Score: 67"
"https://secrethunter.io/jobs/DB.B4E","Revops analyst student role","ThetaRay","Hod Hasharon","2 months","Score: 66"
"https://secrethunter.io/jobs/38.C4F","Junior developer (computer science graduate)","Overwolf","Ramat Gan","2 months","Score: 66"
"https://secrethunter.io/jobs/83.E40","Financial administration student","365Scores","Tel Aviv","13 hours","Score: 31"
"https://secrethunter.io/jobs/52.E40","Warehouse employee- student position","Exodigo","Tel Aviv","5 days","Score: 25"
"https://secrethunter.io/jobs/student-at-ferring-pharmaceuticals-4005611784","Student","Ferring Pharmaceuticals","Caesarea","3 weeks","Score: 20"
"https://secrethunter.io/jobs/s%C3%BCddeutsche-hausverwaltung-auszubildende-r-immobilienkaufmann-frau-ab-februar-2025-september-2025-at-join-com-4077606921","Süddeutsche hausverwaltung: auszubildende/r immobilienkaufmann/-frau ab februar 2025/september 2025","Join.com","South","3 weeks","Score: 19"
"https://secrethunter.io/jobs/youth-entrepreneurship-guide-at-unistream-%D7%99%D7%95%D7%A0%D7%99%D7%A1%D7%98%D7%A8%D7%99%D7%9D-4077530447","Youth entrepreneurship guide","Unistream - יוניסטרים","Tel Aviv","3 weeks","Score: 19"
"https://secrethunter.io/jobs/14696-experienced-learning-designer-at-qualitest-4078393074","14696 - experienced learning designer","Qualitest","Petah Tikva","2 weeks","Score: 19"
"https://secrethunter.io/jobs/D9.D4D","Internal training developer","Guesty","Tel Aviv","3 weeks","Score: 19"
"https://secrethunter.io/jobs/senior-full-stack-developer-at-brainpop-4082499982","Senior full stack developer","BrainPOP","Tel Aviv","2 weeks","Score: 18"
"https://secrethunter.io/jobs/qa-engineer-student-position-at-ourcrowd-4076617040","QA engineer - student position","OurCrowd","Tel Aviv","3 weeks","Score: 18"
"https://secrethunter.io/jobs/94.A42","Data scientist student","Samsung","Tel Aviv","1 month","Score: 17"
"https://secrethunter.io/jobs/compliance-specialist-student-position-at-sidelines-group-4073981523","Compliance specialist - student position","Sidelines Group","3 weeks","Score: 17",""
"https://secrethunter.io/jobs/control-engineer-student-position-at-elbit-systems-israel-4061317316","Control engineer-student position","Elbit Systems Israel","Rehovot","3 weeks","Score: 16"
"https://secrethunter.io/jobs/security-analyst-student-at-shift4-4024347358","Security analyst student","Shift4","Israel","3 weeks","Score: 16"
"https://secrethunter.io/jobs/sdet-engineer-student-position-at-kla-4070975802","Sdet engineer - student position","KLA","Migdal Haemek","1 month","Score: 15"
"https://secrethunter.io/jobs/27.A47","QA student","Waterfall Security Solutions","Rosh Ha'ayin","3 months","Score: 10"
"https://secrethunter.io/jobs/7D.541","Mechanical engineering student/intern","Oshi","Rehovot","8 months","Score: 9"
"https://secrethunter.io/jobs/E6.A48","ML student","Samsung","Tel Aviv","3 months","Score: 7"
